id,retweetCount,replyCount,likeCount,quoteCount,createdAt,isRetweet,isReply,isQuote
1799931148853800000,0,0,1,0,Sun Jun 09 22:26:41 +0000 2024,false,false,false
1799931090053790000,0,0,9,0,Sun Jun 09 22:26:27 +0000 2024,false,false,false
1799930817021400000,6,3,49,1,Sun Jun 09 22:25:22 +0000 2024,false,false,false
1799930592823220000,0,0,7,0,Sun Jun 09 22:24:29 +0000 2024,false,false,false
1799930526758760000,0,0,3,0,Sun Jun 09 22:24:13 +0000 2024,false,false,false
1799930344268800000,6,52,71,1,Sun Jun 09 22:23:29 +0000 2024,false,false,false
1799930304276080000,0,2,9,0,Sun Jun 09 22:23:20 +0000 2024,false,false,false
1799930215117780000,0,0,0,0,Sun Jun 09 22:22:59 +0000 2024,false,false,false
1799930202107070000,0,0,0,0,Sun Jun 09 22:22:55 +0000 2024,false,false,false
1799929885189690000,1,2,7,0,Sun Jun 09 22:21:40 +0000 2024,false,false,false
1799929491851990000,4,1,29,0,Sun Jun 09 22:20:06 +0000 2024,false,false,false
1799929400479080000,0,0,5,1,Sun Jun 09 22:19:44 +0000 2024,false,false,false
1799929318870550000,0,0,1,0,Sun Jun 09 22:19:25 +0000 2024,false,false,false
1799928192750570000,0,0,2,0,Sun Jun 09 22:14:56 +0000 2024,false,false,false
1799928001574170000,0,2,6,0,Sun Jun 09 22:14:11 +0000 2024,false,false,false
1799912271428150000,0,0,0,0,Sun Jun 09 21:11:40 +0000 2024,false,false,false
1799912126800110000,0,0,0,0,Sun Jun 09 21:11:06 +0000 2024,false,false,false
1799908059411520000,0,0,1,0,Sun Jun 09 20:54:56 +0000 2024,false,false,false
1799896149337190000,0,0,1,0,Sun Jun 09 20:07:37 +0000 2024,false,false,true
1799895416583980000,0,0,0,0,Sun Jun 09 20:04:42 +0000 2024,false,false,false
1799894876823110000,0,0,2,0,Sun Jun 09 20:02:33 +0000 2024,false,false,false
1799892066312350000,0,0,0,0,Sun Jun 09 19:51:23 +0000 2024,false,true,false
1799884886838260000,0,2,16,0,Sun Jun 09 19:22:51 +0000 2024,false,true,false
1799880457166960000,0,0,1,0,Sun Jun 09 19:05:15 +0000 2024,false,false,false
1799876621031120000,1,0,3,1,Sun Jun 09 18:50:01 +0000 2024,false,false,false
1799876547387570000,2,0,0,0,Sun Jun 09 18:49:43 +0000 2024,false,false,false
1799870187488810000,1,0,2,0,Sun Jun 09 18:24:27 +0000 2024,false,false,true
1799869044176090000,2,0,3,0,Sun Jun 09 18:19:54 +0000 2024,false,false,false
1799864910773430000,0,0,0,0,Sun Jun 09 18:03:29 +0000 2024,false,false,false
1799862637108380000,0,0,0,0,Sun Jun 09 17:54:27 +0000 2024,false,false,false
1799858587541690000,0,0,1,0,Sun Jun 09 17:38:21 +0000 2024,false,false,false
1799857814443070000,0,0,1,0,Sun Jun 09 17:35:17 +0000 2024,false,false,false
1799849282473740000,0,0,0,0,Sun Jun 09 17:01:23 +0000 2024,false,true,false
1799835520232820000,1,0,3,0,Sun Jun 09 16:06:42 +0000 2024,false,false,false
1799833279832400000,0,0,1,0,Sun Jun 09 15:57:47 +0000 2024,false,false,false
1799953765375890000,27,23,350,0,Sun Jun 09 23:56:33 +0000 2024,false,false,false
1799953732966500000,0,0,1,0,Sun Jun 09 23:56:26 +0000 2024,false,false,false
1799953732018570000,0,0,0,0,Sun Jun 09 23:56:25 +0000 2024,false,false,false
1799953725664190000,1,0,4,0,Sun Jun 09 23:56:24 +0000 2024,false,false,false
1799953686262870000,0,0,0,0,Sun Jun 09 23:56:14 +0000 2024,false,false,false
1799953549608320000,0,1,6,0,Sun Jun 09 23:55:42 +0000 2024,false,false,false
1799953538971570000,0,1,1,0,Sun Jun 09 23:55:39 +0000 2024,false,false,true
1799953536027090000,0,6,0,0,Sun Jun 09 23:55:39 +0000 2024,false,false,true
1799953506742500000,0,0,1,0,Sun Jun 09 23:55:32 +0000 2024,false,false,false
1799953494188890000,0,0,0,0,Sun Jun 09 23:55:29 +0000 2024,false,false,false
1799953480498720000,0,0,6,0,Sun Jun 09 23:55:25 +0000 2024,false,false,true
1799953472898710000,0,0,0,0,Sun Jun 09 23:55:24 +0000 2024,false,false,false
1799953418993430000,0,0,2,0,Sun Jun 09 23:55:11 +0000 2024,false,false,false
1799953409900220000,0,0,1,0,Sun Jun 09 23:55:09 +0000 2024,false,false,false
1799953380040940000,0,2,1,0,Sun Jun 09 23:55:01 +0000 2024,false,false,false
1799953332448170000,0,1,1,0,Sun Jun 09 23:54:50 +0000 2024,false,false,false
1799953311799680000,1,5,5,1,Sun Jun 09 23:54:45 +0000 2024,false,false,false
1799953307089430000,0,0,2,0,Sun Jun 09 23:54:44 +0000 2024,false,false,false
1799953305021700000,15,4,96,2,Sun Jun 09 23:54:44 +0000 2024,false,true,false
