postId,likesCount,sharesCount,commentsCount,date
766453399002774,94,22,2,2024-06-09T14:57:48.000Z
1005629860923950,158,9,75,2024-04-28T14:23:56.000Z
881616627106500,74,8,27,2024-05-23T16:04:26.000Z
828591779296439,83,2,47,2024-03-29T07:53:06.000Z
922090323301252,8,0,1,2024-06-12T09:47:28.000Z
1005497150936030,284,3,60,2024-06-03T21:21:30.000Z
1020132689477460,201,8,23,2024-06-02T11:04:58.000Z
1043012233851310,274,8,40,2024-04-30T11:10:06.000Z
1005353470955380,89,1,13,2024-05-09T06:49:25.000Z
945661203673361,14,2,14,2024-01-22T09:41:17.000Z
977535471045376,50,7,19,2024-06-10T14:01:32.000Z
10234170991920200,117,52,20,2024-10-07T07:37:11.000Z
1027537859383440,25,18,6,2024-10-04T10:01:52.000Z
877178614543425,28,13,11,2024-10-31T16:26:36.000Z
864530619035618,654,16,94,2024-06-09T23:32:04.000Z
879097614022583,33,0,2,2024-05-24T18:54:45.000Z
7654468524630830,59,3,34,2024-06-04T15:32:42.000Z
876916317803692,29,10,2,2024-06-12T13:01:27.000Z
868895548578054,9,0,45,2024-01-14T14:04:15.000Z
986017546217192,25,2,0,2024-05-27T17:50:50.000Z
969663324604194,690,107,63,2024-05-13T12:27:25.000Z
858972252703543,98,21,7,2024-04-03T20:26:58.000Z
995014035327530,140,1,38,2024-06-08T16:27:56.000Z
977494610487732,75,37,7,2024-05-26T06:48:54.000Z
1073747397441900,87,19,13,2024-06-06T14:46:29.000Z
1031596498331170,62,8,6,2024-06-04T16:49:57.000Z
10226880893022700,36,17,5,2024-06-05T08:34:04.000Z
836283855189569,14,3,5,2024-06-04T07:00:08.000Z
122117199992558000,0,0,0,2024-11-04T08:15:51.000Z
851271630361787,51,2,84,2024-05-02T09:54:52.000Z
1009710747389680,514,39,152,2024-05-13T16:55:54.000Z
1012140373608600,402,14,127,2024-06-08T17:12:54.000Z
936292524533853,76,31,21,2024-01-17T14:29:11.000Z
869331011892885,8,5,0,2024-06-10T04:15:01.000Z
1040708690748330,33,4,1,2024-04-26T19:22:58.000Z
10233362095024700,5,0,0,2024-11-12T13:53:11.000Z
771361861826362,2,1,0,2024-05-25T09:57:45.000Z
888730249952182,11,13,8,2024-05-28T12:35:09.000Z
122099632946590000,46,50,0,2024-10-26T18:21:53.000Z
